processes,size,time
4,100,2.12475
4,100,2.07673
4,100,1.32325
4,100,2.06552
4,100,2.08208
4,100,2.06353
4,100,2.08084
4,100,1.22912
4,100,2.07349
4,100,1.24741
4,100,2.07483
4,100,2.07613
4,100,2.17731
4,100,2.08033
4,100,1.25835
4,100,2.07112
4,100,1.26624
4,100,1.24616
4,100,1.22551
4,100,2.11714
4,100,1.24578
4,100,1.2386
4,100,2.08185
4,100,1.23254
4,100,1.22224
4,100,1.22475
4,100,1.24059
4,100,2.08067
4,100,1.26781
4,100,1.41333
4,100,2.05739
4,100,2.07971
4,100,2.08375
4,100,1.36088
4,100,1.23035
4,100,2.07049
4,100,1.25458
4,100,2.08332
4,100,1.32468
4,100,2.08751
4,100,2.11651
4,100,2.07939
4,100,1.27491
4,100,2.07072
4,100,1.22777
4,100,2.06777
4,100,1.22697
4,100,1.22981
4,100,1.29684
4,100,1.23639
4,100,2.07214
4,100,1.2625
4,100,2.09767
4,100,1.23509
4,100,2.10973
4,100,1.23575
4,100,2.09533
4,100,1.26812
4,100,2.07786
4,100,2.29305
4,100,2.07638
4,100,2.08536
4,100,2.07748
4,100,2.08105
4,100,2.09477
4,100,1.23649
4,100,2.13315
4,100,1.26111
4,100,2.0863
4,100,1.22545
4,100,2.12168
4,100,1.22097
4,100,2.07641
4,100,2.0667
4,100,2.07489
4,100,2.1271
4,100,2.0729
4,100,2.08113
4,100,1.23359
4,100,2.06843
4,100,1.22095
4,100,2.0747
4,100,2.0742
4,100,2.09127
4,100,1.25423
4,100,2.066
4,100,2.07195
4,100,1.24194
4,100,2.08262
4,100,2.08796
4,100,2.06466
4,100,2.07465
4,100,2.07576
4,100,1.22175
4,100,1.21905
4,100,2.05657
4,100,2.34281
4,100,1.23079
4,100,2.05374
4,100,1.25416
4,100,2.04493
4,100,2.07143
4,100,2.08141
4,100,1.23113
4,100,1.29011
4,100,2.08496
4,100,1.22871
4,100,1.2528
4,100,2.10163
4,100,2.05611
4,100,1.24885
4,100,1.24621
4,100,2.0577
4,100,2.17408
4,100,2.12437
4,100,2.09995
4,100,1.25633
4,100,1.25367
4,100,1.23551
4,100,1.29481
4,100,2.16158
4,100,2.08057
4,100,1.23596
4,100,1.23363
4,100,1.22188
4,100,2.07733
4,100,2.08731
4,100,2.08577
4,100,1.23212
4,100,2.08137
4,100,1.23124
4,100,1.22463
4,100,1.23348
4,100,2.07273
4,100,2.10134
4,100,2.05192
4,100,1.30942
4,100,1.24146
4,100,1.22983
4,100,1.23356
4,100,1.23841
4,100,2.06345
4,100,2.08704
4,100,1.23011
4,100,2.07484
4,100,2.07117
4,100,2.08483
4,100,2.13749
4,100,2.08496
4,100,1.28202
4,100,2.1232
4,100,1.23087
4,100,2.07314
4,100,1.22332
4,100,2.29595
4,100,1.23328
4,100,2.06848
4,100,1.23217
4,100,2.06209
4,100,1.25453
4,100,1.23078
4,100,2.0424
4,100,1.23841
4,100,2.0853
4,100,1.328
4,100,1.26768
4,100,1.22839
4,100,1.22692
4,100,2.12811
4,100,1.23914
4,100,2.08529
4,100,1.23959
4,100,2.1548
4,100,1.24261
4,100,2.07818
4,100,2.071
4,100,2.07382
4,100,1.22975
4,100,1.22098
4,100,2.06516
4,100,1.24899
4,100,2.06612
4,100,2.0832
4,100,1.22411
4,100,2.0936
4,100,1.29964
4,100,1.23349
4,100,1.32606
4,100,1.25085
4,100,2.08201
4,100,1.23934
4,100,1.23011
4,100,1.24016
4,100,2.06877
4,100,2.06368
4,100,2.09102
4,100,1.28687
4,100,1.25404
4,100,1.2365
4,100,1.22827
4,100,1.27766
4,100,1.2488
4,100,1.22806
4,100,1.22616
4,100,1.28836
4,100,1.25916
4,100,2.08009
4,100,1.2306
4,100,1.29099
4,100,1.24353
4,100,2.08153
4,100,1.23491
4,100,1.23372
4,100,1.2311
4,100,2.106
4,100,2.06725
4,100,2.05434
4,100,2.04993
4,100,2.08085
4,100,1.2282
4,100,2.09183
4,100,1.23016
4,100,1.23636
4,100,1.25875
4,100,2.13503
4,100,2.07595
4,100,1.27686
4,100,1.24785
4,100,1.29954
4,100,1.27129
4,100,1.24305
4,100,2.05581
4,100,2.10482
4,100,2.09935
4,100,1.22672
4,100,2.0738
4,100,1.23923
4,100,1.4267
4,100,1.25434
4,100,1.22461
4,100,2.06869
4,100,2.04994
4,100,1.22901
4,100,1.24303
4,100,2.09256
4,100,1.31342
4,100,2.0753
4,100,2.06896
4,100,1.22776
4,100,2.06155
4,100,1.22957
4,100,2.07748
4,100,1.29418
4,100,2.07625
4,100,1.22344
4,100,2.08436
4,100,1.23243
4,100,2.06264
4,100,2.11124
4,100,1.23311
4,100,1.30044
4,100,1.21759
4,100,2.07384
4,100,1.22956
4,100,2.09876
4,100,2.06428
4,100,1.33662
4,100,1.22255
4,100,1.31125
4,100,1.31032
4,100,2.10025
4,100,2.08755
4,100,1.26443
4,100,1.21872
4,100,1.7474
4,100,1.28667
4,100,1.23828
4,100,1.23132
