processes,size,time
6,100,1.06039
6,100,0.624646
6,100,0.988978
6,100,1.01843
6,100,1.01419
6,100,1.04882
6,100,1.00866
6,100,0.645838
6,100,0.627537
6,100,1.07401
6,100,1.0683
6,100,1.03267
6,100,1.03983
6,100,1.05401
6,100,0.974135
6,100,0.649157
6,100,1.05681
6,100,1.03697
6,100,1.0445
6,100,1.10646
6,100,0.965308
6,100,1.02562
6,100,0.632543
6,100,1.0774
6,100,0.980212
6,100,1.01475
6,100,1.04048
6,100,1.03224
6,100,9.96551
6,100,1.03334
6,100,1.02409
6,100,1.02912
6,100,1.04008
6,100,1.0718
6,100,1.04327
6,100,0.639958
6,100,0.982353
6,100,1.05461
6,100,1.03855
6,100,0.993757
6,100,0.992657
6,100,1.02445
6,100,1.0022
6,100,0.643772
6,100,1.02398
6,100,1.0441
6,100,1.01113
6,100,1.00689
6,100,0.627625
6,100,1.02018
6,100,1.03352
6,100,1.01687
6,100,1.09263
6,100,1.0637
6,100,0.994429
6,100,1.11527
6,100,1.02949
6,100,1.0415
6,100,1.01815
6,100,0.959769
6,100,0.985537
6,100,0.690455
6,100,1.03035
6,100,1.06426
6,100,0.98552
6,100,1.02716
6,100,1.03494
6,100,1.01339
6,100,1.12226
6,100,1.10237
6,100,1.02855
6,100,1.05818
6,100,1.0124
6,100,1.01575
6,100,1.05762
6,100,1.03591
6,100,0.634762
6,100,1.21856
6,100,1.01303
6,100,0.787485
6,100,1.01444
6,100,1.08285
6,100,1.03136
6,100,1.04217
6,100,0.990467
6,100,1.04108
6,100,1.07626
6,100,0.996986
6,100,1.01763
6,100,1.14454
6,100,0.637791
6,100,1.06439
6,100,1.01811
6,100,1.04641
6,100,1.00901
6,100,1.04138
6,100,1.08735
6,100,1.031
6,100,0.987453
6,100,0.628832
6,100,0.978138
6,100,1.0405
6,100,1.05494
6,100,1.11934
6,100,0.990759
6,100,0.635658
6,100,1.02501
6,100,0.63662
6,100,1.04438
6,100,1.03012
6,100,1.01352
6,100,1.01443
6,100,1.02687
6,100,1.06266
6,100,0.969822
6,100,0.975317
6,100,1.03421
6,100,1.04098
6,100,1.03458
6,100,0.993606
6,100,0.636635
6,100,1.04337
6,100,1.03616
6,100,1.03762
6,100,0.964411
6,100,1.09423
6,100,1.00131
6,100,1.05018
6,100,1.05949
6,100,1.0318
6,100,0.624872
6,100,0.990486
6,100,1.004
6,100,1.0255
6,100,1.02997
6,100,1.03589
6,100,1.02391
6,100,0.97175
6,100,1.01495
6,100,1.02016
6,100,1.05884
6,100,0.977644
6,100,0.990346
6,100,0.63705
6,100,1.10045
6,100,0.995161
6,100,1.06852
6,100,1.00635
6,100,1.02131
6,100,0.637791
6,100,0.996346
6,100,1.071
6,100,1.00881
6,100,1.02811
6,100,1.04301
6,100,1.02686
6,100,1.01487
6,100,0.99478
6,100,1.06188
6,100,1.02212
6,100,0.634487
6,100,1.03903
6,100,0.977266
6,100,1.02913
6,100,1.0377
6,100,1.17818
6,100,1.02914
6,100,0.987739
6,100,1.01625
6,100,1.02712
6,100,1.04071
6,100,1.00938
6,100,1.05035
6,100,0.962774
6,100,0.639599
6,100,1.1047
6,100,1.08699
6,100,1.07381
6,100,0.999547
6,100,1.01413
6,100,1.06488
6,100,1.03053
6,100,1.04874
6,100,1.02523
6,100,1.03467
6,100,1.05292
6,100,0.989629
6,100,0.641787
6,100,1.01597
6,100,1.05116
6,100,0.9848
6,100,0.969899
6,100,1.0116
6,100,1.05896
6,100,1.00223
6,100,0.985753
6,100,1.0131
6,100,1.03146
6,100,1.01771
6,100,0.985576
6,100,1.00166
6,100,1.0207
6,100,1.00731
6,100,1.07301
6,100,1.00037
6,100,1.02526
6,100,1.05251
