processes,size,time
1,10,0.003338
1,10,0.003429
1,10,0.003329
1,10,0.003364
1,10,0.003326
1,10,0.003418
1,10,0.003267
1,10,0.003338
1,10,0.003348
1,10,0.003279
1,20,0.021064
1,20,0.022327
1,20,0.021262
1,20,0.020714
1,20,0.022073
1,20,0.021104
1,20,0.020636
1,20,0.021788
1,20,0.021192
1,20,0.022092
1,30,0.073551
1,30,0.068828
1,30,0.06884
1,30,0.067651
1,30,0.068663
1,30,0.067288
1,30,0.067257
1,30,0.068906
1,30,0.068872
1,30,0.067305
1,40,0.171817
1,40,0.180394
1,40,0.170333
1,40,0.171796
1,40,0.171684
1,40,0.167664
1,40,0.171869
1,40,0.181814
1,40,0.16788
1,40,0.168205
1,50,0.30219
1,50,0.302066
1,50,0.297987
1,50,0.347007
1,50,0.316646
1,50,0.302462
1,50,0.29541
1,50,0.343892
1,50,0.295454
1,50,0.323882
1,60,0.518219
1,60,0.522063
1,60,0.505258
1,60,0.614483
1,60,0.56096
1,60,0.516894
1,60,0.5733
1,60,0.530028
1,60,0.540058
1,60,0.572396
1,70,0.843423
1,70,0.826094
1,70,0.835131
1,70,0.872797
1,70,0.862881
1,70,0.799602
1,70,0.856861
1,70,0.865076
1,70,0.803289
1,70,0.865398
1,80,1.28829
1,80,1.30788
1,80,1.34988
1,80,1.3849
1,80,1.29885
1,80,1.33839
1,80,1.33927
1,80,1.354
1,80,1.31166
1,80,1.3012
1,90,1.77723
1,90,1.73135
1,90,1.77336
1,90,1.7731
1,90,1.85552
1,90,1.75664
1,90,1.76553
1,90,1.73786
1,90,1.78096
1,90,1.7336
1,100,2.48568
1,100,2.62808
1,100,2.5269
1,100,2.5545
1,100,2.5445
1,100,2.59002
1,100,2.57775
1,100,2.59515
1,100,2.47892
1,100,2.58845
1,200,19.7747
1,200,19.8904
1,200,19.6108
1,200,19.9909
1,200,19.7486
1,200,18.8312
1,200,18.953
1,200,19.7313
1,200,19.6402
1,200,19.2741
1,300,64.9278
1,300,63.9448
1,300,63.717
1,300,67.2347
1,300,65.3369
1,300,65.2765
1,300,64.7189
1,300,64.706
1,300,64.2816
1,300,64.625
1,400,154.379
1,400,154.083
1,400,157.673
1,400,154.346
1,400,157.154
1,400,154.563
1,400,153.461
1,400,149.604
1,400,153.553
1,400,151.954
1,500,304.761
1,500,293.284
1,500,294.541
1,500,296.432
1,500,292.981
1,500,294.531
1,500,298.598
1,500,294.883
1,500,297.285
