processes,size,time
16,100,1.19561
16,100,1.61014
16,100,1.41616
16,100,3.27183
16,100,1.03312
16,100,1.15898
16,100,2.32747
16,100,0.984675
16,100,2.49298
16,100,3.75645
16,100,2.12257
16,100,0.922376
16,100,0.902645
16,100,0.931051
16,100,2.19914
16,100,0.870258
16,100,2.26049
16,100,2.27197
16,100,1.25062
16,100,2.88563
16,100,2.22363
16,100,2.3603
16,100,2.39358
16,100,2.35943
16,100,1.19308
16,100,1.39905
16,100,2.23586
16,100,2.17345
16,100,2.1869
16,100,0.889599
16,100,1.983
16,100,1.00274
16,100,0.985517
16,100,0.972531
16,100,1.10865
16,100,1.18015
16,100,1.16342
16,100,2.00392
16,100,0.988716
16,100,2.46848
16,100,2.18321
16,100,2.20429
16,100,2.31122
16,100,2.51746
16,100,1.10481
16,100,0.914004
16,100,1.00792
16,100,0.892733
16,100,2.31021
16,100,5.30608
16,100,0.921752
16,100,2.50346
16,100,2.19432
16,100,2.09998
16,100,1.0123
16,100,1.05203
16,100,1.15275
16,100,0.925236
16,100,2.25524
16,100,2.40282
16,100,2.29406
16,100,0.950953
16,100,3.57226
16,100,1.08803
16,100,3.68183
16,100,1.0052
16,100,2.30519
16,100,2.36038
16,100,0.90299
16,100,3.83015
16,100,2.32179
16,100,2.38762
16,100,2.25211
16,100,2.31129
16,100,0.898396
16,100,2.28327
16,100,2.34977
16,100,2.22403
16,100,0.947422
16,100,0.984172
16,100,0.900735
16,100,2.30633
16,100,2.3286
16,100,1.1314
16,100,3.43607
16,100,1.00845
16,100,2.29181
16,100,3.61552
16,100,2.04505
16,100,0.93128
16,100,2.43111
16,100,2.39117
16,100,2.19251
16,100,0.955995
16,100,2.23831
16,100,3.56908
16,100,3.4474
16,100,0.913058
16,100,0.958628
16,100,2.28218
16,100,0.938117
16,100,1.41693
16,100,0.994558
16,100,1.27791
16,100,1.1039
16,100,1.20898
16,100,2.40782
16,100,1.94796
16,100,2.14805
16,100,3.59698
16,100,2.17275
16,100,0.941324
16,100,0.95425
16,100,0.938531
16,100,0.974911
16,100,3.57119
16,100,3.603
16,100,0.997525
16,100,1.08504
16,100,2.31164
16,100,2.06073
16,100,1.01055
16,100,3.77761
16,100,1.3849
16,100,2.34209
16,100,1.09628
16,100,1.25733
16,100,2.26089
16,100,2.10519
16,100,2.14726
16,100,1.02579
16,100,2.14815
16,100,2.44211
16,100,1.30803
16,100,2.42984
16,100,0.939534
16,100,2.39422
16,100,0.993013
16,100,1.05601
16,100,2.37486
16,100,0.93169
16,100,2.15319
16,100,1.14438
16,100,1.1362
16,100,1.06886
16,100,1.05873
16,100,2.13666
16,100,4.0147
16,100,1.1087
16,100,0.953141
16,100,1.44687
16,100,0.966636
16,100,2.09257
16,100,2.09027
16,100,2.18391
16,100,0.959654
16,100,0.943827
16,100,1.36921
16,100,0.91175
16,100,0.931726
16,100,2.18477
16,100,2.28399
16,100,3.78082
16,100,0.892812
16,100,0.864236
16,100,2.15848
16,100,0.948888
16,100,1.011
16,100,2.4524
16,100,1.03489
16,100,1.02613
16,100,2.16267
16,100,0.957129
16,100,1.09836
16,100,2.38113
16,100,2.34779
16,100,1.99778
16,100,2.22332
16,100,1.19769
16,100,0.980909
16,100,1.13588
16,100,2.21877
16,100,2.40322
16,100,2.40342
16,100,3.70173
16,100,1.38325
16,100,2.41654
16,100,0.916225
16,100,1.03862
16,100,0.835213
16,100,0.890849
16,100,3.53302
16,100,0.921905
16,100,2.07735
16,100,2.38671
16,100,1.09094
16,100,2.31593
16,100,2.22725
16,100,0.926623
16,100,1.21978
16,100,2.27542
16,100,2.31796
16,100,0.969453
16,100,2.40986
16,100,3.61396
16,100,0.869449
16,100,2.33224
16,100,1.92005
16,100,3.57154
16,100,1.03712
16,100,3.99562
16,100,2.25187
16,100,2.33913
16,100,2.50663
16,100,3.72162
16,100,2.39314
16,100,2.36749
16,100,3.5854
16,100,1.34783
16,100,2.29843
16,100,2.40266
16,100,0.944773
16,100,1.27482
16,100,3.6299
16,100,1.16917
16,100,0.867466
16,100,1.15025
16,100,0.959754
16,100,0.922184
16,100,2.32819
16,100,1.66593
16,100,0.983482
16,100,2.31954
16,100,0.909578
16,100,2.45689
16,100,0.956351
16,100,0.981822
16,100,3.48689
16,100,3.51427
16,100,1.15288
16,100,2.24629
16,100,2.35529
16,100,3.8784
16,100,1.14743
16,100,2.36274
16,100,0.970585
16,100,0.966251
16,100,2.15997
16,100,2.17538
16,100,2.28344
16,100,2.09241
16,100,1.14136
16,100,2.13317
16,100,2.31235
16,100,2.16749
16,100,2.22049
16,100,2.4877
16,100,0.882783
16,100,2.13222
16,100,2.28745
16,100,1.12391
16,100,1.06998
16,100,1.13872
16,100,1.13078
16,100,1.05207
16,100,1.50122
16,100,0.914975
16,100,2.1182
16,100,1.37702
16,100,0.915374
16,100,2.37723
16,100,0.902139
16,100,2.23795
16,100,1.11434
16,100,0.924603
16,100,0.933838
16,100,0.920337
16,100,0.969895
16,100,0.941294
16,100,1.13751
16,100,2.42098
16,100,2.32723
16,100,2.40842
16,100,0.9778
16,100,2.22347
16,100,2.1721
16,100,3.53051
16,100,2.15798
16,100,0.975414
16,100,1.13605
16,100,2.19214
16,100,3.5529
16,100,1.10591
16,100,0.94731
16,100,2.37259
16,100,1.08958
16,100,3.57429
16,100,2.31309
16,100,3.63964
16,100,2.40059
16,100,1.02779
16,100,2.18996
16,100,3.57431
16,100,2.31585
16,100,1.08952
16,100,3.73761
16,100,0.929418
16,100,2.39616
16,100,0.948083
16,100,2.28187
16,100,2.3453
16,100,1.11661
16,100,1.11659
16,100,1.47705
16,100,3.80161
16,100,1.81331
16,100,2.23851
16,100,1.30187
16,100,2.27741
16,100,1.12231
16,100,1.1464
16,100,1.14875
16,100,2.10694
16,100,2.15285
16,100,0.910241
16,100,3.42903
16,100,1.19326
16,100,1.11308
16,100,2.37186
16,100,2.36122
16,100,0.935235
16,100,1.08385
16,100,1.40082
16,100,0.918295
16,100,2.31915
16,100,1.15441
16,100,1.03754
16,100,2.12728
16,100,0.930545
16,100,1.00585
16,100,0.864659
16,100,3.95649
16,100,0.915567
16,100,0.980765
16,100,1.69673
16,100,2.26126
16,100,1.23039
16,100,1.08683
16,100,2.31237
16,100,0.923767
16,100,1.16991
16,100,2.21559
16,100,2.51279
16,100,2.35394
16,100,1.48206
16,100,1.11174
16,100,2.19708
16,100,2.4329
16,100,1.04822
16,100,1.05065
16,100,2.40977
16,100,2.4149
16,100,2.28604
16,100,0.967285
16,100,2.44217
16,100,0.962001
16,100,3.79481
16,100,2.23982
16,100,0.968931
16,100,2.00878
16,100,2.49807
16,100,1.11029
16,100,4.01942
16,100,3.63918
16,100,0.921288
16,100,2.16156
16,100,2.27578
16,100,1.00418
16,100,0.96433
16,100,2.13793
16,100,0.870097
16,100,2.42888
16,100,1.24541
16,100,0.902485
16,100,1.14927
16,100,1.06134
16,100,0.918096
16,100,2.06311
16,100,5.4217
16,100,0.961309
16,100,2.31178
16,100,1.01781
16,100,0.937506
16,100,0.84762
16,100,3.79432
16,100,2.07171
16,100,0.938413
16,100,1.27371
16,100,0.917127
16,100,1.09994
16,100,1.01681
16,100,2.45409
16,100,0.876429
16,100,1.13489
16,100,2.3016
16,100,1.09831
16,100,2.30367
16,100,0.92905
16,100,0.965406
16,100,1.13688
16,100,1.10039
16,100,0.944426
16,100,2.0942
16,100,0.969052
16,100,1.12268
16,100,0.959111
16,100,1.46311
16,100,0.975367
16,100,2.19171
16,100,1.11725
16,100,2.40625
16,100,2.29093
16,100,1.01238
16,100,3.59663
16,100,2.41936
16,100,2.08002
16,100,2.18118
16,100,1.07419
16,100,1.00348
16,100,2.06076
16,100,1.41143
16,100,0.94832
16,100,1.158
16,100,2.4399
16,100,0.975126
16,100,2.3671
16,100,1.09047
16,100,2.07941
16,100,1.06527
16,100,1.14807
16,100,2.31134
16,100,1.03461
16,100,5.02917
16,100,2.34033
16,100,1.10771
16,100,1.1375
16,100,2.37397
16,100,1.21361
16,100,0.978805
16,100,2.31604
16,100,0.953149
16,100,1.5029
16,100,1.10653
16,100,1.11923
16,100,0.889538
16,100,2.23884
16,100,0.966533
16,100,2.42916
16,100,1.17632
16,100,1.10602
16,100,3.57304
16,100,2.39913
16,100,2.25671
16,100,2.00981
16,100,2.30634
16,100,2.34603
16,100,2.39623
16,100,0.901495
16,100,1.15866
16,100,2.22733
16,100,2.31781
16,100,0.937155
16,100,1.26338
16,100,2.18552
16,100,3.6195
16,100,0.941226
16,100,2.49897
16,100,0.923082
16,100,0.910883
16,100,1.60744
16,100,0.999801
16,100,2.29236
16,100,3.51373
16,100,0.956095
16,100,0.973943
16,100,0.873193
16,100,1.42558
16,100,2.2845
16,100,0.980119
16,100,2.28256
16,100,1.14739
16,100,0.956129
16,100,1.00403
16,100,0.95245
16,100,1.06264
16,100,1.05091
16,100,2.38526
16,100,1.17965
16,100,2.18059
16,100,2.28263
16,100,1.17278
16,100,2.36839
16,100,0.974937
16,100,0.947587
16,100,2.13756
16,100,2.22915
16,100,2.39778
16,100,0.969278
16,100,2.30828
16,100,0.988222
16,100,0.925049
16,100,2.42063
16,100,3.12561
16,100,2.19722
16,100,0.935681
16,100,2.26499
16,100,2.3504
16,100,2.21479
16,100,0.965389
16,100,1.10516
16,100,1.10691
16,100,2.38415
16,100,0.880212
16,100,2.19181
16,100,1.25578
