processes,size,time
6,100,1.55825
6,100,0.987461
6,100,1.54506
6,100,1.54696
6,100,1.62524
6,100,1.57795
6,100,1.56045
6,100,1.57134
6,100,1.54969
6,100,1.55596
6,200,10.4277
6,200,10.573
6,200,10.4917
6,200,10.6091
6,200,10.445
6,200,10.4639
6,200,5.99559
6,200,10.305
6,200,10.3627
6,200,10.7306
6,300,33.3523
6,300,33.9106
6,300,34.0738
6,300,33.981
6,300,34.0797
6,300,34.077
6,300,23.4975
6,300,33.9877
6,300,34.1484
6,300,35.4095
6,400,64.0698
6,400,65.3133
6,400,65.7592
6,400,52.9109
6,400,57.7389
6,400,65.3326
6,400,46.4004
6,400,63.1378
6,400,44.303
6,400,44.8469
6,500,97.025
6,500,86.5989
6,500,106.519
6,500,93.3746
6,500,85.4028
6,500,132.39
6,500,96.0834
6,500,108.951
6,500,94.0775
6,500,85.4938
6,600,150.457
6,600,158.302
6,600,170.115
6,600,162.814
6,600,169.776
6,600,173.323
6,600,183.392
6,600,170.134
6,600,168.255
6,600,188.847
6,700,239.3
6,700,246.633
6,700,246.02
6,700,244.13
6,700,239.59
6,700,239.701
6,700,203.791
6,700,205.751
6,700,199.039
6,700,222.576
6,800,391.595
6,800,389.56
6,800,367.448
6,800,434.127
6,800,398.7
6,800,382.474
6,800,430.081
6,800,409.293
6,800,378.984
6,800,430.798
6,900,551.136
6,900,689.509
6,900,725.184
6,900,458.301
6,900,645.184
6,900,496.28
6,900,688.055
6,900,667.237
6,900,565.229
6,900,716.291
6,1000,839.399
6,1000,863.071
6,1000,783.104
6,1000,759.189
6,1000,689.633
6,1000,911.24
6,1000,877.846
6,1000,904.685
6,1000,898.868
6,1000,909.042
8,100,4.32692
8,100,0.936884
8,100,1.22947
8,100,1.01462
8,100,0.846512
8,100,1.08908
8,100,1.03541
8,100,0.87934
8,100,1.09666
8,100,0.918594
8,200,6.60653
8,200,6.5588
8,200,6.52421
8,200,7.50927
8,200,6.75527
8,200,6.88026
8,200,6.37286
8,200,6.93927
8,200,6.62102
8,200,6.4345
8,300,21.2705
8,300,20.6154
8,300,21.5123
8,300,21.4203
8,300,31.1893
8,300,21.3109
8,300,21.9004
8,300,21.1168
8,300,21.5369
8,300,21.1067
8,400,47.384
8,400,50.3325
8,400,49.0437
8,400,50.6066
8,400,50.8144
8,400,47.732
8,400,50.5749
8,400,48.2886
8,400,47.8764
8,400,71.9555
8,500,118.192
8,500,102.714
8,500,95.6325
8,500,97.1784
8,500,95.3137
8,500,115.044
8,500,102.564
8,500,117.142
8,500,114.851
8,500,133.496
8,600,308.839
8,600,201.107
8,600,257.029
8,600,160.459
8,600,235
8,600,358.893
8,600,211.864
8,600,245.773
8,600,235.742
8,600,264.255
8,700,299.963
8,700,445.464
8,700,388.487
8,700,437.16
8,700,480.479
8,700,499.034
8,700,363.549
8,700,472.497
8,700,547.071
8,700,369.512
8,800,694.312
8,800,826.52
8,800,625.076
8,800,506.826
8,800,649.532
8,800,710.526
8,800,541.52
8,800,571.757
8,800,798.586
8,800,612.528
8,900,855.209
8,900,896.036
8,900,867.639
8,900,810.473
8,900,967.605
8,900,831.949
8,900,897.474
8,900,821.168
8,900,883.523
8,900,864.196
8,1000,919.754
8,1000,994.601
8,1000,1062.41
8,1000,1041
8,1000,1069.2
8,1000,1031.18
8,1000,1053.68
8,1000,970.945
8,1000,1018.94
8,1000,1030.97
12,100,5.15455
12,100,5.04841
12,100,4.19838
12,100,6.61406
12,100,5.68845
12,100,6.61444
12,100,14.0125
12,100,4.1951
12,100,8.19046
12,100,1.57709
12,200,35.0497
12,200,26.1965
12,200,31.2526
12,200,25.8447
12,200,10.8787
12,200,16.9127
12,200,22.4918
12,200,14.2592
12,200,18.8279
12,200,47.4703
12,300,105.478
12,300,23.1174
12,300,19.018
12,300,65.1624
12,300,24.5376
12,300,55.3138
12,300,66.5811
12,300,50.3454
12,300,42.9387
12,300,32.2935
12,400,162.579
12,400,62.972
12,400,153.899
12,400,102.178
12,400,60.1354
12,400,136.371
12,400,70.7987
12,400,123.747
12,400,113.96
12,400,212.613
12,500,418.713
12,500,77.6863
12,500,248.03
12,500,375.264
12,500,166.505
12,500,113.107
12,500,317.633
12,500,104.73
12,500,87.7483
12,500,128.683
12,600,312.946
12,600,267.845
12,600,165.726
12,600,357.686
12,600,489.043
12,600,164.239
12,600,391.211
12,600,220.223
12,600,434.208
12,600,219.93
12,700,359.534
12,700,523.65
12,700,487.882
12,700,389.541
12,700,220.248
12,700,493.008
12,700,547.717
12,700,802.014
12,700,487.654
12,700,341.204
12,800,508.317
12,800,524.091
12,800,525.233
12,800,612.808
12,800,476.074
12,800,617.518
12,800,568.485
12,800,326.851
12,800,615.043
12,800,342.458
12,900,647.639
12,900,544.808
12,900,493.922
12,900,585.73
12,900,645.591
12,900,498.252
12,900,536.855
12,900,539.745
12,900,523.523
12,900,527.756
12,1000,776.613
12,1000,727.921
12,1000,601.722
12,1000,673.839
12,1000,899.938
12,1000,743.361
12,1000,718.227
12,1000,928.21
12,1000,754.136
12,1000,618.151
16,100,4.92582
16,100,7.80721
16,100,8.56212
16,100,5.40503
16,100,4.42622
16,100,8.54663
16,100,6.53474
16,100,7.30227
16,100,5.72975
16,100,5.46082
16,200,46.4701
16,200,53.4791
16,200,46.4151
16,200,42.1569
16,200,27.8006
16,200,40.4103
16,200,47.0155
16,200,36.7188
16,200,40.5128
16,200,38.4782
16,300,85.1014
16,300,71.5199
16,300,79.1032
16,300,67.7065
16,300,53.6527
16,300,130.575
16,300,34.7677
16,300,51.2048
16,300,108.699
16,300,109.496
16,400,242.332
16,400,157.569
16,400,197.855
16,400,199.209
16,400,115.439
16,400,105.933
16,400,149.003
16,400,81.8343
16,400,300.333
16,400,139.755
16,500,172.18
16,500,173.366
16,500,158.95
16,500,396.915
16,500,167.106
16,500,483.074
16,500,283.941
16,500,434.448
16,500,219.171
16,500,457.895
16,600,527.973
16,600,300.542
16,600,452.668
16,600,399.53
16,600,242.101
16,600,232.283
16,600,395.349
16,600,451.397
16,600,615.638
16,600,427.614
16,700,628.078
16,700,618.963
16,700,463.331
16,700,473.838
16,700,525.038
16,700,705.871
16,700,372.374
16,700,657.752
16,700,518.707
16,700,447.608
16,800,815.69
16,800,883.385
16,800,789.803
16,800,552.795
16,800,849.215
16,800,767.115
16,800,508.519
16,800,789.405
16,800,640.657
16,800,543.754
16,900,898.559
16,900,1170.95
16,900,1204.29
16,900,848.313
16,900,1192.77
16,900,905.453
16,900,1087.91
16,900,852.881
16,900,830.643
16,900,881.106
16,1000,1085.85
16,1000,1410.3
16,1000,1043.9
16,1000,1553.98
16,1000,1131.72
16,1000,1341.31
16,1000,1274.4
16,1000,1357.21
16,1000,1338.73
16,1000,1263.78
32,100,7.73409
32,100,3.60921
32,100,14.191
32,100,9.26829
32,100,5.70818
32,100,15.5158
32,100,6.40846
32,100,6.73448
32,100,21.3732
32,100,6.92671
32,200,10.8811
32,200,37.4879
32,200,68.5675
32,200,14.2298
32,200,43.0998
32,200,34.5251
32,200,42.4829
32,200,52.9834
32,200,44.6731
32,200,31.4644
32,300,49.6822
32,300,89.3306
32,300,38.4182
32,300,31.9607
32,300,39.4364
32,300,81.3893
32,300,118.96
32,300,27.8008
32,300,54.904
32,300,49.3752
32,400,88.2576
32,400,78.0449
32,400,105.385
32,400,63.5311
32,400,106.472
32,400,46.3883
32,400,68.9546
32,400,105.412
32,400,109.955
32,400,98.0231
32,500,135.543
32,500,114.06
32,500,134.204
32,500,191.435
32,500,254.613
32,500,237.887
32,500,213.825
32,500,249.072
32,500,143.401
32,500,153.184
32,600,318.039
32,600,324.087
32,600,194.722
32,600,301.821
32,600,376.515
32,600,309.704
32,600,584.729
32,600,397.126
32,600,303.373
32,600,265.526
32,700,452.846
32,700,493.938
32,700,472.352
32,700,609.479
32,700,384.272
32,700,555.041
32,700,592.344
32,700,643.403
32,700,627.977
32,700,441.056
32,800,609.135
32,800,838.187
32,800,719.648
32,800,963.032
32,800,992.609
32,800,742.018
32,800,792.595
32,800,860.026
32,800,1190.52
32,800,622.895
32,900,783.438
32,900,1232.08
32,900,1029.53
32,900,1339.09
32,900,847.02
32,900,706.186
32,900,885.026
32,900,941.191
32,900,742.717
32,900,924.535
32,1000,2051.53
32,1000,989.519
32,1000,1451.8
32,1000,1119.5
32,1000,1420.42
32,1000,1273.47
32,1000,1320.19
32,1000,1248.26
32,1000,1268.33
32,1000,1186.46
6,100,1.04579
6,100,1.15556
6,100,1.14895
6,100,1.01474
6,100,1.06688
6,100,1.04613
6,100,1.17733
6,100,1.42333
6,100,1.23488
6,100,1.04935
6,200,8.3342
6,200,8.07127
6,200,7.82172
6,200,8.08949
6,200,8.09608
6,200,8.12231
6,200,7.57599
6,200,7.86496
6,200,8.22896
6,200,7.70215
6,300,26.5538
6,300,24.5632
6,300,14.6618
6,300,24.0262
6,300,25.8981
6,300,24.0584
6,300,25.6794
6,300,25.6738
6,300,22.3039
6,300,23.7445
6,400,50.9918
6,400,34.174
6,400,56.4743
6,400,44.3571
6,400,33.7806
6,400,41.4417
6,400,56.4741
6,400,48.0653
6,400,48.9323
6,400,50.6018
6,500,112.569
6,500,80.2836
6,500,152.864
6,500,211.457
6,500,108.214
6,500,89.507
6,500,69.0076
6,500,109.339
6,500,79.4045
6,500,86.352
6,600,135.544
6,600,143.126
6,600,133.194
6,600,127.977
6,600,115.625
6,600,120.261
6,600,121.492
6,600,127.433
6,600,168.184
6,600,127.312
6,700,191.47
6,700,198.879
6,700,189.436
6,700,182.426
6,700,246.823
6,700,184.554
6,700,185.011
6,700,202.831
6,700,184.135
6,700,203.075
6,800,307.703
6,800,278.415
6,800,275.814
6,800,285.326
6,800,281.283
6,800,312.953
6,800,313.017
6,800,289.407
6,800,298.84
6,800,286.19
6,900,393.853
6,900,418.771
6,900,718.095
6,900,489.895
6,900,458.038
6,900,483.549
6,900,469.869
6,900,501.155
6,900,556.376
6,900,555.393
6,1000,544.627
6,1000,626.542
6,1000,660.546
6,1000,656.321
6,1000,673.311
6,1000,661.84
6,1000,653.495
6,1000,673.885
6,1000,660.678
6,1000,657.317
8,100,0.877946
8,100,1.4694
8,100,0.868081
8,100,0.955775
8,100,0.843768
8,100,0.881317
8,100,0.856192
8,100,1.07838
8,100,0.910336
8,100,0.930294
8,200,6.44904
8,200,17.0406
8,200,6.25446
8,200,6.67091
8,200,6.8053
8,200,6.34335
