processes,size,time
1,10,0.000312
1,10,0.000435
1,10,0.000303
1,10,0.000306
1,10,0.000387
1,10,0.000289
1,10,0.00034
1,10,0.000274
1,10,0.000315
1,10,0.000369
1,20,0.000295
1,20,0.000284
1,20,0.000438
1,20,0.000283
1,20,0.000393
1,20,0.000358
1,20,0.000354
1,20,0.00033
1,20,0.000314
1,20,0.000291
1,30,0.000372
1,30,0.000312
1,30,0.000301
1,30,0.000329
1,30,0.000285
1,30,0.000597
1,30,0.000391
1,30,0.000385
1,30,0.000297
1,30,0.00041
1,40,0.00028
1,40,0.000371
1,40,0.000261
1,40,0.000365
1,40,0.000306
1,40,0.000351
1,40,0.000348
1,40,0.000319
1,40,0.000393
1,40,0.000295
1,50,0.000436
1,50,0.000383
1,50,0.000665
1,50,0.000289
1,50,0.000306
1,50,0.000302
1,50,0.000371
1,50,0.00029
1,50,0.000488
1,50,0.000371
1,60,0.000445
1,60,0.000408
1,60,0.000299
1,60,0.0003
1,60,0.000426
1,60,0.000292
1,60,0.000308
1,60,0.000294
1,60,0.000388
1,60,0.000401
1,70,0.000365
1,70,0.000393
1,70,0.000345
1,70,0.000413
1,70,0.000341
1,70,0.000402
1,70,0.000374
1,70,0.000363
1,70,0.000318
1,70,0.000267
1,80,0.000313
1,80,0.000472
1,80,0.000451
1,80,0.00041
1,80,0.000298
1,80,0.000296
1,80,0.000327
1,80,0.000378
1,80,0.000389
1,80,0.000336
1,90,0.000368
1,90,0.000424
1,90,0.000425
1,90,0.000391
1,90,0.000344
1,90,0.000327
1,90,0.000542
1,90,0.000334
1,90,0.000402
1,90,0.000302
1,100,0.000376
1,100,0.000308
1,100,0.000536
1,100,0.000371
1,100,0.000353
1,100,0.000453
1,100,0.000317
1,100,0.000408
1,100,0.00058
1,100,0.000427
1,200,0.000331
1,200,0.000414
1,200,0.000345
1,200,0.000322
1,200,0.000323
1,200,0.000317
1,200,0.000559
1,200,0.00032
1,200,0.000355
1,200,0.000345
1,300,0.000504
1,300,0.000456
1,300,0.000444
1,300,0.000558
1,300,0.000333
1,300,0.000372
1,300,0.000319
1,300,0.000457
1,300,0.000379
1,300,0.000327
1,400,0.000511
1,400,0.000374
1,400,0.000385
1,400,0.000402
1,400,0.000474
1,400,0.00038
1,400,0.000406
1,400,0.000353
1,400,0.000389
1,400,0.000516
1,500,0.000537
1,500,0.000673
1,500,0.00036
1,500,0.000339
1,500,0.000507
1,500,0.000331
1,500,0.000511
1,500,0.000514
1,500,0.000462
1,500,0.000635
1,600,0.000543
1,600,0.000398
1,600,0.000412
1,600,0.000476
1,600,0.000365
1,600,0.000408
1,600,0.0005
1,600,0.000389
1,600,0.000625
1,600,0.000398
1,700,0.00044
1,700,0.000371
1,700,0.000515
1,700,0.000765
1,700,0.000769
1,700,0.000528
1,700,0.000521
1,700,0.000759
1,700,0.000511
1,700,0.000528
1,800,0.000588
1,800,0.000446
1,800,0.000427
