processes,size,time
1,10,0.000323
1,10,0.000188
1,10,0.000186
1,10,0.000276
1,10,0.00026
1,10,0.000186
1,10,0.000248
1,10,0.000194
1,10,0.000202
1,10,0.000272
1,20,0.000207
1,20,0.000205
1,20,0.000213
1,20,0.00027
1,20,0.000251
1,20,0.000184
1,20,0.000212
1,20,0.000213
1,20,0.000208
1,20,0.000227
1,30,0.000196
1,30,0.000342
1,30,0.000205
1,30,0.000295
1,30,0.000248
1,30,0.000235
1,30,0.000319
1,30,0.0002
1,30,0.000244
1,30,0.000234
1,40,0.000225
1,40,0.000185
1,40,0.000312
1,40,0.000242
1,40,0.000221
1,40,0.000188
1,40,0.00029
1,40,0.000195
1,40,0.000235
1,40,0.000347
1,50,0.000264
1,50,0.000236
1,50,0.000208
1,50,0.000319
1,50,0.000196
1,50,0.000188
1,50,0.000213
1,50,0.000213
1,50,0.000187
1,50,0.000217
1,60,0.000223
1,60,0.000206
1,60,0.000203
1,60,0.000456
1,60,0.000208
1,60,0.000244
1,60,0.000204
1,60,0.000202
1,60,0.000179
1,60,0.000185
1,70,0.000279
1,70,0.000209
1,70,0.000253
1,70,0.000188
1,70,0.000227
1,70,0.000194
1,70,0.000242
1,70,0.000195
1,70,0.000194
1,70,0.000188
1,80,0.000221
1,80,0.000243
1,80,0.000194
1,80,0.000209
1,80,0.000252
1,80,0.000202
1,80,0.000266
1,80,0.000316
1,80,0.000193
1,80,0.000283
1,90,0.000308
1,90,0.000198
1,90,0.000215
1,90,0.000195
1,90,0.000192
1,90,0.000205
1,90,0.000296
1,90,0.000188
1,90,0.000208
1,90,0.000228
1,100,0.000449
1,100,0.000286
1,100,0.000222
1,100,0.000204
1,100,0.000294
1,100,0.000247
1,100,0.000194
1,100,0.000263
1,100,0.000227
1,100,0.000202
1,200,0.000289
1,200,0.000239
1,200,0.000231
1,200,0.000212
1,200,0.000323
1,200,0.000249
1,200,0.000405
1,200,0.000224
1,200,0.000251
1,200,0.000249
1,300,0.000362
1,300,0.000212
1,300,0.000208
1,300,0.000319
1,300,0.000229
1,300,0.00023
1,300,0.000212
1,300,0.000265
1,300,0.000234
1,300,0.000245
1,400,0.000334
1,400,0.000267
1,400,0.000225
1,400,0.000463
1,400,0.000246
1,400,0.000243
1,400,0.000221
1,400,0.000221
1,400,0.000221
1,400,0.000235
1,500,0.000426
1,500,0.000271
1,500,0.000222
1,500,0.000282
1,500,0.000418
1,500,0.000242
1,500,0.000214
1,500,0.00024
1,500,0.000241
1,500,0.000208
1,600,0.000276
1,600,0.000239
1,600,0.000217
1,600,0.000463
1,600,0.000273
1,600,0.000327
1,600,0.000296
1,600,0.00026
1,600,0.000334
1,600,0.000277
1,700,0.000269
1,700,0.000286
1,700,0.000418
1,700,0.000294
1,700,0.000258
1,700,0.000364
1,700,0.000241
1,700,0.000265
1,700,0.000451
1,700,0.000279
1,800,0.000344
1,800,0.000357
1,800,0.000311
1,800,0.000349
1,800,0.000225
1,800,0.000556
1,800,0.000232
1,800,0.000344
1,800,0.00036
1,800,0.000802
1,900,0.000355
1,900,0.000307
1,900,0.000271
1,900,0.000278
1,900,0.000345
1,900,0.000366
1,900,0.000317
1,900,0.000297
1,900,0.000228
1,900,0.000266
1,1000,0.000497
1,1000,0.000276
1,1000,0.000448
1,1000,0.000429
1,1000,0.00042
1,1000,0.000476
1,1000,0.000275
1,1000,0.000328
1,1000,0.000315
1,1000,0.000288
2,10,0.028114
2,10,0.045656
2,10,0.042401
2,10,0.0843
2,10,0.07671
2,10,0.025028
2,10,0.018805
2,10,0.024858
2,10,0.023969
2,10,0.022277
2,20,0.022708
2,20,0.018592
2,20,0.02068
2,20,0.019297
2,20,0.022227
2,20,0.019905
2,20,0.020183
2,20,0.023896
2,20,0.02129
2,20,0.022485
2,30,0.027273
2,30,0.02516
2,30,0.028459
2,30,0.026689
2,30,0.022253
2,30,0.027496
2,30,0.024983
2,30,0.025737
2,30,0.044931
2,30,0.028583
2,40,0.040782
2,40,0.054629
2,40,0.051136
2,40,0.041199
2,40,0.040972
2,40,0.036489
2,40,0.034704
2,40,0.036155
2,40,0.040987
2,40,0.037858
2,50,0.046748
2,50,0.054525
2,50,0.03639
2,50,0.042699
2,50,0.038977
2,50,0.041913
2,50,0.041573
2,50,0.041723
2,50,0.040442
2,50,0.045444
2,60,0.05029
2,60,0.048711
2,60,0.047009
2,60,0.047723
2,60,0.047232
2,60,0.043885
2,60,0.042657
2,60,0.043103
2,60,0.043921
2,60,0.063319
2,70,0.051914
2,70,0.052492
2,70,0.058718
2,70,0.053222
2,70,0.054042
2,70,0.082523
2,70,0.054118
2,70,0.055985
2,70,0.055085
2,70,0.125956
2,80,0.061943
2,80,0.06279
2,80,0.05008
2,80,0.059879
2,80,0.059378
2,80,0.063653
2,80,0.063897
2,80,0.060102
2,80,0.059671
2,80,0.06298
2,90,0.077441
2,90,0.077222
2,90,0.083448
2,90,0.075429
2,90,0.071267
2,90,0.076472
2,90,0.111371
2,90,0.075726
2,90,0.078803
2,90,0.075837
2,100,0.084548
2,100,0.08268
2,100,0.091771
2,100,0.087545
2,100,0.090447
2,100,0.090216
2,100,0.08356
2,100,0.10648
2,100,0.07707
2,100,0.099869
2,200,0.280803
2,200,0.253043
2,200,0.249103
2,200,0.298036
2,200,0.262183
2,200,0.268334
2,200,0.272558
2,200,0.263444
2,200,0.269195
2,200,0.273679
2,300,0.583941
2,300,0.51646
2,300,0.581131
2,300,0.569296
2,300,0.702069
2,300,0.613524
2,300,0.576278
2,300,0.565644
2,300,0.649941
2,300,0.617094
2,400,1.15331
2,400,1.08803
2,400,1.04725
2,400,1.18754
2,400,1.09893
2,400,1.11503
2,400,1.10746
2,400,0.974713
2,400,1.09313
2,400,1.16446
2,500,1.6251
2,500,1.60676
2,500,1.36486
2,500,1.80003
2,500,1.55233
2,500,1.85823
2,500,1.62237
2,500,1.45665
2,500,1.54571
2,500,1.40833
2,600,1.91037
2,600,2.27142
2,600,2.40493
2,600,2.00153
2,600,2.28056
2,600,2.38349
2,600,2.34946
2,600,1.8214
